nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
7726;168;0;0;95;3;0;0;87;27
7727;168;0;0;95;3;0;0;87;27
7728;168;0;0;95;3;0;0;87;27
7729;168;0;0;95;3;0;0;87;27
7731;157;0;0;79;6;0;0;101;17
7732;157;0;0;79;6;0;0;101;17
7733;157;0;0;79;6;0;0;101;17
7734;157;0;0;79;6;0;0;101;17
7735;157;0;0;79;6;0;0;101;17
7736;157;0;0;79;6;0;0;101;17
7737;157;0;0;79;6;0;0;101;17
7738;157;0;0;79;6;0;0;101;17
7739;157;0;0;79;6;0;0;101;17
7741;139;0;0;93;7;0;0;98;16
7742;139;0;0;93;7;0;0;98;16
7743;139;0;0;93;7;0;0;98;16
7744;139;0;0;93;7;0;0;98;16
7745;139;0;0;93;7;0;0;98;16
7746;139;0;0;93;7;0;0;98;16
7747;139;0;0;93;7;0;0;98;16
7748;139;0;0;93;7;0;0;98;16
7749;139;0;0;93;7;0;0;98;16
7751;194;0;0;81;8;0;0;92;10
7752;194;0;0;81;8;0;0;92;10
7753;194;0;0;81;8;0;0;92;10
7754;194;0;0;81;8;0;0;92;10
7755;194;0;0;81;8;0;0;92;10
7756;194;0;0;81;8;0;0;92;10
7757;194;0;0;81;8;0;0;92;10
7758;194;0;0;81;8;0;0;92;10
7759;194;0;0;81;8;0;0;92;10
7761;167;0;0;82;2;0;0;103;24
7762;167;0;0;82;2;0;0;103;24
7763;167;0;0;82;2;0;0;103;24
7764;167;0;0;82;2;0;0;103;24
7765;167;0;0;82;2;0;0;103;24
7766;167;0;0;82;2;0;0;103;24
7767;167;0;0;82;2;0;0;103;24
7768;167;0;0;82;2;0;0;103;24
7769;167;0;0;82;2;0;0;103;24
7771;167;0;0;76;4;0;0;117;24
7772;167;0;0;76;4;0;0;117;24
7773;167;0;0;76;4;0;0;117;24
7774;167;0;0;76;4;0;0;117;24
7775;167;0;0;76;4;0;0;117;24
7776;167;0;0;76;4;0;0;117;24
7777;167;0;0;76;4;0;0;117;24
7778;167;0;0;76;4;0;0;117;24
7779;167;0;0;76;4;0;0;117;24
7781;158;0;0;73;4;0;0;105;24
7782;158;0;0;73;4;0;0;105;24
7783;158;0;0;73;4;0;0;105;24
7784;158;0;0;73;4;0;0;105;24
7785;158;0;0;73;4;0;0;105;24
7786;158;0;0;73;4;0;0;105;24
7787;158;0;0;73;4;0;0;105;24
7788;158;0;0;73;4;0;0;105;24
7789;158;0;0;73;4;0;0;105;24
7791;168;0;0;79;9;0;0;124;15
7792;168;0;0;79;9;0;0;124;15
7793;168;0;0;79;9;0;0;124;15
7794;168;0;0;79;9;0;0;124;15
7795;168;0;0;79;9;0;0;124;15
7796;168;0;0;79;9;0;0;124;15
7797;168;0;0;79;9;0;0;124;15
7798;168;0;0;79;9;0;0;124;15
7799;168;0;0;79;9;0;0;124;15
7801;174;0;0;69;8;0;0;104;15
7802;174;0;0;69;8;0;0;104;15
7803;174;0;0;69;8;0;0;104;15
7804;174;0;0;69;8;0;0;104;15
7805;174;0;0;69;8;0;0;104;15
7806;174;0;0;69;8;0;0;104;15
7807;174;0;0;69;8;0;0;104;15
7808;174;0;0;69;8;0;0;104;15
7809;174;0;0;69;8;0;0;104;15
7811;192;0;0;71;9;0;0;124;19
7812;192;0;0;71;9;0;0;124;19
7813;192;0;0;71;9;0;0;124;19
7814;192;0;0;71;9;0;0;124;19
7815;192;0;0;71;9;0;0;124;19
7816;192;0;0;71;9;0;0;124;19
7817;192;0;0;71;9;0;0;124;19
7818;192;0;0;71;9;0;0;124;19
7819;192;0;0;71;9;0;0;124;19
7821;187;0;0;76;4;0;0;117;14
7822;187;0;0;76;4;0;0;117;14
7823;187;0;0;76;4;0;0;117;14
7824;187;0;0;76;4;0;0;117;14
7825;187;0;0;76;4;0;0;117;14
7826;187;0;0;76;4;0;0;117;14
7827;187;0;0;76;4;0;0;117;14
7828;187;0;0;76;4;0;0;117;14
7829;187;0;0;76;4;0;0;117;14
7831;154;0;0;80;4;0;0;104;26
7832;154;0;0;80;4;0;0;104;26
7833;154;0;0;80;4;0;0;104;26
7834;154;0;0;80;4;0;0;104;26
7835;154;0;0;80;4;0;0;104;26
7836;154;0;0;80;4;0;0;104;26
7837;154;0;0;80;4;0;0;104;26
7838;154;0;0;80;4;0;0;104;26
7839;154;0;0;80;4;0;0;104;26
7841;190;0;0;49;9;0;0;121;13
7842;190;0;0;49;9;0;0;121;13
7843;190;0;0;49;9;0;0;121;13
7844;190;0;0;49;9;0;0;121;13
7845;190;0;0;49;9;0;0;121;13
7846;190;0;0;49;9;0;0;121;13
7847;190;0;0;49;9;0;0;121;13
7848;190;0;0;49;9;0;0;121;13
7849;190;0;0;49;9;0;0;121;13
7851;188;0;0;84;5;0;0;106;21
7852;188;0;0;84;5;0;0;106;21
7853;188;0;0;84;5;0;0;106;21
7854;188;0;0;84;5;0;0;106;21
7855;188;0;0;84;5;0;0;106;21
7856;188;0;0;84;5;0;0;106;21
7857;188;0;0;84;5;0;0;106;21
7858;188;0;0;84;5;0;0;106;21
7859;188;0;0;84;5;0;0;106;21
7861;214;0;0;68;8;0;0;99;14
7862;214;0;0;68;8;0;0;99;14
7863;214;0;0;68;8;0;0;99;14
7864;214;0;0;68;8;0;0;99;14
7865;214;0;0;68;8;0;0;99;14
7866;214;0;0;68;8;0;0;99;14
7867;214;0;0;68;8;0;0;99;14
7868;214;0;0;68;8;0;0;99;14
7869;214;0;0;68;8;0;0;99;14
7871;212;0;0;76;4;0;0;112;28
7872;212;0;0;76;4;0;0;112;28
7873;212;0;0;76;4;0;0;112;28
7874;212;0;0;76;4;0;0;112;28
7875;212;0;0;76;4;0;0;112;28
7876;212;0;0;76;4;0;0;112;28
7877;212;0;0;76;4;0;0;112;28
7878;212;0;0;76;4;0;0;112;28
7879;212;0;0;76;4;0;0;112;28
7881;192;0;0;71;4;0;0;123;16
7882;192;0;0;71;4;0;0;123;16
7883;192;0;0;71;4;0;0;123;16
7884;192;0;0;71;4;0;0;123;16
7885;192;0;0;71;4;0;0;123;16
7886;192;0;0;71;4;0;0;123;16
7887;192;0;0;71;4;0;0;123;16
7888;192;0;0;71;4;0;0;123;16
7889;192;0;0;71;4;0;0;123;16
7891;192;0;0;72;7;0;0;105;12
7892;192;0;0;72;7;0;0;105;12
7893;192;0;0;72;7;0;0;105;12
7894;192;0;0;72;7;0;0;105;12
7895;192;0;0;72;7;0;0;105;12
7896;192;0;0;72;7;0;0;105;12
7897;192;0;0;72;7;0;0;105;12
7898;192;0;0;72;7;0;0;105;12
7899;192;0;0;72;7;0;0;105;12
7901;188;0;0;77;2;0;0;111;27
7902;188;0;0;77;2;0;0;111;27
7903;188;0;0;77;2;0;0;111;27
7904;188;0;0;77;2;0;0;111;27
7905;188;0;0;77;2;0;0;111;27
7906;188;0;0;77;2;0;0;111;27
7907;188;0;0;77;2;0;0;111;27
7908;188;0;0;77;2;0;0;111;27
7909;188;0;0;77;2;0;0;111;27
7911;206;0;0;69;5;0;0;109;22
7912;206;0;0;69;5;0;0;109;22
7913;206;0;0;69;5;0;0;109;22
7914;206;0;0;69;5;0;0;109;22
7915;206;0;0;69;5;0;0;109;22
7916;206;0;0;69;5;0;0;109;22
7917;206;0;0;69;5;0;0;109;22
7918;206;0;0;69;5;0;0;109;22
7919;206;0;0;69;5;0;0;109;22
7921;204;0;0;66;4;0;0;137;22
7922;204;0;0;66;4;0;0;137;22
7923;204;0;0;66;4;0;0;137;22
7924;204;0;0;66;4;0;0;137;22
7925;204;0;0;66;4;0;0;137;22
7926;204;0;0;66;4;0;0;137;22
7927;204;0;0;66;4;0;0;137;22
7928;204;0;0;66;4;0;0;137;22
7929;204;0;0;66;4;0;0;137;22
7931;202;0;0;54;2;0;0;106;19
7932;202;0;0;54;2;0;0;106;19
7933;202;0;0;54;2;0;0;106;19
7934;202;0;0;54;2;0;0;106;19
7935;202;0;0;54;2;0;0;106;19
7936;202;0;0;54;2;0;0;106;19
7937;202;0;0;54;2;0;0;106;19
7938;202;0;0;54;2;0;0;106;19
7939;202;0;0;54;2;0;0;106;19
7941;206;0;0;62;2;0;0;118;10
7942;206;0;0;62;2;0;0;118;10
7943;206;0;0;62;2;0;0;118;10
7944;206;0;0;62;2;0;0;118;10
7945;206;0;0;62;2;0;0;118;10
7946;206;0;0;62;2;0;0;118;10
7947;206;0;0;62;2;0;0;118;10
7948;206;0;0;62;2;0;0;118;10
7949;206;0;0;62;2;0;0;118;10
7951;225;0;0;55;3;0;0;115;7
7952;225;0;0;55;3;0;0;115;7
7953;225;0;0;55;3;0;0;115;7
7954;225;0;0;55;3;0;0;115;7
7955;225;0;0;55;3;0;0;115;7
7956;225;0;0;55;3;0;0;115;7
7957;225;0;0;55;3;0;0;115;7
7958;225;0;0;55;3;0;0;115;7
7959;225;0;0;55;3;0;0;115;7
7961;204;0;0;74;3;0;0;113;26
7962;204;0;0;74;3;0;0;113;26
7963;204;0;0;74;3;0;0;113;26
7964;204;0;0;74;3;0;0;113;26
7965;204;0;0;74;3;0;0;113;26
7966;204;0;0;74;3;0;0;113;26
7967;204;0;0;74;3;0;0;113;26
7968;204;0;0;74;3;0;0;113;26
7969;204;0;0;74;3;0;0;113;26
7971;215;0;0;74;6;0;0;123;18
7972;215;0;0;74;6;0;0;123;18
7973;215;0;0;74;6;0;0;123;18
7974;215;0;0;74;6;0;0;123;18
7975;215;0;0;74;6;0;0;123;18
7976;215;0;0;74;6;0;0;123;18
7977;215;0;0;74;6;0;0;123;18
7978;215;0;0;74;6;0;0;123;18
7979;215;0;0;74;6;0;0;123;18
7981;203;0;0;75;7;0;0;134;16
7982;203;0;0;75;7;0;0;134;16
7983;203;0;0;75;7;0;0;134;16
7984;203;0;0;75;7;0;0;134;16
7985;203;0;0;75;7;0;0;134;16
7986;203;0;0;75;7;0;0;134;16
7987;203;0;0;75;7;0;0;134;16
7988;203;0;0;75;7;0;0;134;16
7989;203;0;0;75;7;0;0;134;16
7991;213;0;0;64;4;0;0;124;14
7992;213;0;0;64;4;0;0;124;14
7993;213;0;0;64;4;0;0;124;14
7994;213;0;0;64;4;0;0;124;14
7995;213;0;0;64;4;0;0;124;14
7996;213;0;0;64;4;0;0;124;14
7997;213;0;0;64;4;0;0;124;14
7998;213;0;0;64;4;0;0;124;14
7999;213;0;0;64;4;0;0;124;14
8001;182;0;0;94;1;0;0;112;16
8002;182;0;0;94;1;0;0;112;16
8003;182;0;0;94;1;0;0;112;16
8004;182;0;0;94;1;0;0;112;16
8005;182;0;0;94;1;0;0;112;16
8006;182;0;0;94;1;0;0;112;16
8007;182;0;0;94;1;0;0;112;16
8008;182;0;0;94;1;0;0;112;16
8009;182;0;0;94;1;0;0;112;16
8011;188;0;0;78;5;0;0;97;15
8012;188;0;0;78;5;0;0;97;15
8013;188;0;0;78;5;0;0;97;15
8014;188;0;0;78;5;0;0;97;15
8015;188;0;0;78;5;0;0;97;15
8016;188;0;0;78;5;0;0;97;15
8017;188;0;0;78;5;0;0;97;15
8018;188;0;0;78;5;0;0;97;15
8019;188;0;0;78;5;0;0;97;15
8021;171;0;0;91;4;0;0;125;22
8022;171;0;0;91;4;0;0;125;22
8023;171;0;0;91;4;0;0;125;22
8024;171;0;0;91;4;0;0;125;22
8025;171;0;0;91;4;0;0;125;22
8026;171;0;0;91;4;0;0;125;22
8027;171;0;0;91;4;0;0;125;22
8028;171;0;0;91;4;0;0;125;22
8029;171;0;0;91;4;0;0;125;22
8031;203;0;0;93;2;0;0;97;19
8032;203;0;0;93;2;0;0;97;19
8033;203;0;0;93;2;0;0;97;19
8034;203;0;0;93;2;0;0;97;19
8035;203;0;0;93;2;0;0;97;19
8036;203;0;0;93;2;0;0;97;19
8037;203;0;0;93;2;0;0;97;19
8038;203;0;0;93;2;0;0;97;19
8039;203;0;0;93;2;0;0;97;19
8041;186;0;0;96;4;0;0;102;20
8042;186;0;0;96;4;0;0;102;20
8043;186;0;0;96;4;0;0;102;20
8044;186;0;0;96;4;0;0;102;20
8045;186;0;0;96;4;0;0;102;20
8046;186;0;0;96;4;0;0;102;20
8047;186;0;0;96;4;0;0;102;20
8048;186;0;0;96;4;0;0;102;20
8049;186;0;0;96;4;0;0;102;20
8051;169;0;0;120;-1;0;0;124;23
8052;169;0;0;120;-1;0;0;124;23
8053;169;0;0;120;-1;0;0;124;23
8054;169;0;0;120;-1;0;0;124;23
8055;169;0;0;120;-1;0;0;124;23
8056;169;0;0;120;-1;0;0;124;23
8057;169;0;0;120;-1;0;0;124;23
8058;169;0;0;120;-1;0;0;124;23
8059;169;0;0;120;-1;0;0;124;23
8061;166;0;0;101;3;0;0;115;21
8062;166;0;0;101;3;0;0;115;21
8063;166;0;0;101;3;0;0;115;21
8064;166;0;0;101;3;0;0;115;21
8065;166;0;0;101;3;0;0;115;21
8066;166;0;0;101;3;0;0;115;21
8067;166;0;0;101;3;0;0;115;21
8068;166;0;0;101;3;0;0;115;21
8069;166;0;0;101;3;0;0;115;21
8071;167;0;0;99;5;0;0;120;16
8072;167;0;0;99;5;0;0;120;16
8073;167;0;0;99;5;0;0;120;16
8074;167;0;0;99;5;0;0;120;16
8075;167;0;0;99;5;0;0;120;16
8076;167;0;0;99;5;0;0;120;16
8077;167;0;0;99;5;0;0;120;16
8078;167;0;0;99;5;0;0;120;16
8079;167;0;0;99;5;0;0;120;16
8081;137;0;0;103;6;0;0;131;22
8082;137;0;0;103;6;0;0;131;22
8083;137;0;0;103;6;0;0;131;22
8084;137;0;0;103;6;0;0;131;22
8085;137;0;0;103;6;0;0;131;22
8086;137;0;0;103;6;0;0;131;22
8087;137;0;0;103;6;0;0;131;22
8088;137;0;0;103;6;0;0;131;22
8089;137;0;0;103;6;0;0;131;22
8091;157;0;0;90;3;0;0;129;23
8092;157;0;0;90;3;0;0;129;23
8093;157;0;0;90;3;0;0;129;23
8094;157;0;0;90;3;0;0;129;23
8095;157;0;0;90;3;0;0;129;23
8096;157;0;0;90;3;0;0;129;23
8097;157;0;0;90;3;0;0;129;23
8098;157;0;0;90;3;0;0;129;23
8099;157;0;0;90;3;0;0;129;23
8101;138;0;0;95;2;0;0;123;13
8102;138;0;0;95;2;0;0;123;13
8103;138;0;0;95;2;0;0;123;13
8104;138;0;0;95;2;0;0;123;13
8105;138;0;0;95;2;0;0;123;13
8106;138;0;0;95;2;0;0;123;13
8107;138;0;0;95;2;0;0;123;13
8108;138;0;0;95;2;0;0;123;13
8109;138;0;0;95;2;0;0;123;13
8111;136;0;0;100;5;0;0;132;12
8112;136;0;0;100;5;0;0;132;12
8113;136;0;0;100;5;0;0;132;12
8114;136;0;0;100;5;0;0;132;12
8115;136;0;0;100;5;0;0;132;12
8116;136;0;0;100;5;0;0;132;12
8117;136;0;0;100;5;0;0;132;12
8118;136;0;0;100;5;0;0;132;12
8119;136;0;0;100;5;0;0;132;12
8121;124;0;0;102;4;0;0;155;20
8122;124;0;0;102;4;0;0;155;20
8123;124;0;0;102;4;0;0;155;20
8124;124;0;0;102;4;0;0;155;20
8125;124;0;0;102;4;0;0;155;20
8126;124;0;0;102;4;0;0;155;20
8127;124;0;0;102;4;0;0;155;20
8128;124;0;0;102;4;0;0;155;20
8129;124;0;0;102;4;0;0;155;20
8131;114;0;0;84;5;0;0;127;14
8132;114;0;0;84;5;0;0;127;14
8133;114;0;0;84;5;0;0;127;14
8134;114;0;0;84;5;0;0;127;14
8135;114;0;0;84;5;0;0;127;14
8136;114;0;0;84;5;0;0;127;14
8137;114;0;0;84;5;0;0;127;14
8138;114;0;0;84;5;0;0;127;14
8139;114;0;0;84;5;0;0;127;14
8141;135;0;0;79;7;0;0;130;17
8142;135;0;0;79;7;0;0;130;17
8143;135;0;0;79;7;0;0;130;17
8144;135;0;0;79;7;0;0;130;17
8145;135;0;0;79;7;0;0;130;17
8146;135;0;0;79;7;0;0;130;17
8147;135;0;0;79;7;0;0;130;17
8148;135;0;0;79;7;0;0;130;17
8149;135;0;0;79;7;0;0;130;17
8151;116;0;0;90;7;0;0;131;11
8152;116;0;0;90;7;0;0;131;11
8153;116;0;0;90;7;0;0;131;11
8154;116;0;0;90;7;0;0;131;11
8155;116;0;0;90;7;0;0;131;11
8156;116;0;0;90;7;0;0;131;11
8157;116;0;0;90;7;0;0;131;11
8158;116;0;0;90;7;0;0;131;11
8159;116;0;0;90;7;0;0;131;11
8161;125;0;0;91;4;0;0;129;12
8162;125;0;0;91;4;0;0;129;12
8163;125;0;0;91;4;0;0;129;12
8164;125;0;0;91;4;0;0;129;12
8165;125;0;0;91;4;0;0;129;12
8166;125;0;0;91;4;0;0;129;12
8167;125;0;0;91;4;0;0;129;12
8168;125;0;0;91;4;0;0;129;12
8169;125;0;0;91;4;0;0;129;12
8171;130;0;0;86;5;0;0;122;21
8172;130;0;0;86;5;0;0;122;21
8173;130;0;0;86;5;0;0;122;21
8174;130;0;0;86;5;0;0;122;21
8175;130;0;0;86;5;0;0;122;21
8176;130;0;0;86;5;0;0;122;21
8177;130;0;0;86;5;0;0;122;21
