nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;23;7;0;97;119;0;17;3;29
12;23;7;0;97;119;0;17;3;29
13;23;7;0;97;119;0;17;3;29
14;23;7;0;97;119;0;17;3;29
15;23;7;0;97;119;0;17;3;29
16;23;7;0;97;119;0;17;3;29
17;23;7;0;97;119;0;17;3;29
18;23;7;0;97;119;0;17;3;29
19;23;7;0;97;119;0;17;3;29
21;31;3;0;85;122;0;13;7;32
22;31;3;0;85;122;0;13;7;32
23;31;3;0;85;122;0;13;7;32
24;31;3;0;85;122;0;13;7;32
25;31;3;0;85;122;0;13;7;32
26;31;3;0;85;122;0;13;7;32
27;31;3;0;85;122;0;13;7;32
28;31;3;0;85;122;0;13;7;32
29;31;3;0;85;122;0;13;7;32
31;60;5;0;82;132;0;26;10;54
32;60;5;0;82;132;0;26;10;54
33;60;5;0;82;132;0;26;10;54
34;60;5;0;82;132;0;26;10;54
35;60;5;0;82;132;0;26;10;54
36;60;5;0;82;132;0;26;10;54
37;60;5;0;82;132;0;26;10;54
38;60;5;0;82;132;0;26;10;54
39;60;5;0;82;132;0;26;10;54
41;70;5;0;71;25;0;24;13;3
42;70;5;0;71;25;0;24;13;3
43;70;5;0;71;25;0;24;13;3
44;70;5;0;71;25;0;24;13;3
45;70;5;0;71;25;0;24;13;3
46;70;5;0;71;25;0;24;13;3
47;70;5;0;71;25;0;24;13;3
48;70;5;0;71;25;0;24;13;3
49;70;5;0;71;25;0;24;13;3
51;108;2;0;65;17;0;17;14;1
52;108;2;0;65;17;0;17;14;1
53;108;2;0;65;17;0;17;14;1
54;108;2;0;65;17;0;17;14;1
55;108;2;0;65;17;0;17;14;1
56;108;2;0;65;17;0;17;14;1
57;108;2;0;65;17;0;17;14;1
58;108;2;0;65;17;0;17;14;1
59;108;2;0;65;17;0;17;14;1
61;174;2;0;45;8;0;19;7;2
62;174;2;0;45;8;0;19;7;2
63;174;2;0;45;8;0;19;7;2
64;174;2;0;45;8;0;19;7;2
65;174;2;0;45;8;0;19;7;2
66;174;2;0;45;8;0;19;7;2
67;174;2;0;45;8;0;19;7;2
68;174;2;0;45;8;0;19;7;2
69;174;2;0;45;8;0;19;7;2
71;223;3;0;50;4;0;15;11;0
72;223;3;0;50;4;0;15;11;0
73;223;3;0;50;4;0;15;11;0
74;223;3;0;50;4;0;15;11;0
75;223;3;0;50;4;0;15;11;0
76;223;3;0;50;4;0;15;11;0
77;223;3;0;50;4;0;15;11;0
78;223;3;0;50;4;0;15;11;0
79;223;3;0;50;4;0;15;11;0
81;290;0;0;44;8;0;12;6;1
82;290;0;0;44;8;0;12;6;1
83;290;0;0;44;8;0;12;6;1
84;290;0;0;44;8;0;12;6;1
