nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;15;10;0;97;113;0;36;3;34
12;15;10;0;97;113;0;36;3;34
13;15;10;0;97;113;0;36;3;34
14;15;10;0;97;113;0;36;3;34
15;15;10;0;97;113;0;36;3;34
16;15;10;0;97;113;0;36;3;34
17;15;10;0;97;113;0;36;3;34
18;15;10;0;97;113;0;36;3;34
19;15;10;0;97;113;0;36;3;34
21;23;8;0;80;121;0;26;7;45
22;23;8;0;80;121;0;26;7;45
23;23;8;0;80;121;0;26;7;45
24;23;8;0;80;121;0;26;7;45
25;23;8;0;80;121;0;26;7;45
26;23;8;0;80;121;0;26;7;45
27;23;8;0;80;121;0;26;7;45
28;23;8;0;80;121;0;26;7;45
29;23;8;0;80;121;0;26;7;45
31;29;3;0;85;137;0;25;12;42
32;29;3;0;85;137;0;25;12;42
33;29;3;0;85;137;0;25;12;42
34;29;3;0;85;137;0;25;12;42
35;29;3;0;85;137;0;25;12;42
36;29;3;0;85;137;0;25;12;42
37;29;3;0;85;137;0;25;12;42
38;29;3;0;85;137;0;25;12;42
39;29;3;0;85;137;0;25;12;42
41;62;4;0;85;18;0;16;9;35
42;62;4;0;85;18;0;16;9;35
43;62;4;0;85;18;0;16;9;35
44;62;4;0;85;18;0;16;9;35
45;62;4;0;85;18;0;16;9;35
46;62;4;0;85;18;0;16;9;35
47;62;4;0;85;18;0;16;9;35
48;62;4;0;85;18;0;16;9;35
49;62;4;0;85;18;0;16;9;35
51;105;5;0;80;18;0;17;5;21
52;105;5;0;80;18;0;17;5;21
53;105;5;0;80;18;0;17;5;21
54;105;5;0;80;18;0;17;5;21
55;105;5;0;80;18;0;17;5;21
56;105;5;0;80;18;0;17;5;21
57;105;5;0;80;18;0;17;5;21
58;105;5;0;80;18;0;17;5;21
59;105;5;0;80;18;0;17;5;21
61;106;6;0;61;6;0;11;4;14
62;106;6;0;61;6;0;11;4;14
63;106;6;0;61;6;0;11;4;14
64;106;6;0;61;6;0;11;4;14
65;106;6;0;61;6;0;11;4;14
66;106;6;0;61;6;0;11;4;14
67;106;6;0;61;6;0;11;4;14
68;106;6;0;61;6;0;11;4;14
69;106;6;0;61;6;0;11;4;14
71;218;6;0;46;6;0;12;5;4
72;218;6;0;46;6;0;12;5;4
73;218;6;0;46;6;0;12;5;4
74;218;6;0;46;6;0;12;5;4
75;218;6;0;46;6;0;12;5;4
76;218;6;0;46;6;0;12;5;4
77;218;6;0;46;6;0;12;5;4
78;218;6;0;46;6;0;12;5;4
79;218;6;0;46;6;0;12;5;4
81;239;6;0;40;2;0;16;1;3
82;239;6;0;40;2;0;16;1;3
83;239;6;0;40;2;0;16;1;3
84;239;6;0;40;2;0;16;1;3
