nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;43;4;0;94;81;0;33;2;34
12;43;4;0;94;81;0;33;2;34
13;43;4;0;94;81;0;33;2;34
14;43;4;0;94;81;0;33;2;34
15;43;4;0;94;81;0;33;2;34
16;43;4;0;94;81;0;33;2;34
17;43;4;0;94;81;0;33;2;34
18;43;4;0;94;81;0;33;2;34
19;43;4;0;94;81;0;33;2;34
21;35;5;0;62;137;0;12;5;29
22;35;5;0;62;137;0;12;5;29
23;35;5;0;62;137;0;12;5;29
24;35;5;0;62;137;0;12;5;29
25;35;5;0;62;137;0;12;5;29
26;35;5;0;62;137;0;12;5;29
27;35;5;0;62;137;0;12;5;29
28;35;5;0;62;137;0;12;5;29
29;35;5;0;62;137;0;12;5;29
31;55;6;0;69;137;0;24;13;54
32;55;6;0;69;137;0;24;13;54
33;55;6;0;69;137;0;24;13;54
34;55;6;0;69;137;0;24;13;54
35;55;6;0;69;137;0;24;13;54
36;55;6;0;69;137;0;24;13;54
37;55;6;0;69;137;0;24;13;54
38;55;6;0;69;137;0;24;13;54
39;55;6;0;69;137;0;24;13;54
41;58;5;0;90;21;0;24;10;5
42;58;5;0;90;21;0;24;10;5
43;58;5;0;90;21;0;24;10;5
44;58;5;0;90;21;0;24;10;5
45;58;5;0;90;21;0;24;10;5
46;58;5;0;90;21;0;24;10;5
47;58;5;0;90;21;0;24;10;5
48;58;5;0;90;21;0;24;10;5
49;58;5;0;90;21;0;24;10;5
51;125;2;0;68;17;0;26;7;1
52;125;2;0;68;17;0;26;7;1
53;125;2;0;68;17;0;26;7;1
54;125;2;0;68;17;0;26;7;1
55;125;2;0;68;17;0;26;7;1
56;125;2;0;68;17;0;26;7;1
57;125;2;0;68;17;0;26;7;1
58;125;2;0;68;17;0;26;7;1
59;125;2;0;68;17;0;26;7;1
61;156;4;0;68;16;0;18;11;1
62;156;4;0;68;16;0;18;11;1
63;156;4;0;68;16;0;18;11;1
64;156;4;0;68;16;0;18;11;1
65;156;4;0;68;16;0;18;11;1
66;156;4;0;68;16;0;18;11;1
67;156;4;0;68;16;0;18;11;1
68;156;4;0;68;16;0;18;11;1
69;156;4;0;68;16;0;18;11;1
71;229;1;0;52;6;0;19;3;2
72;229;1;0;52;6;0;19;3;2
73;229;1;0;52;6;0;19;3;2
74;229;1;0;52;6;0;19;3;2
75;229;1;0;52;6;0;19;3;2
76;229;1;0;52;6;0;19;3;2
77;229;1;0;52;6;0;19;3;2
78;229;1;0;52;6;0;19;3;2
79;229;1;0;52;6;0;19;3;2
81;291;2;0;53;7;0;9;8;1
82;291;2;0;53;7;0;9;8;1
83;291;2;0;53;7;0;9;8;1
84;291;2;0;53;7;0;9;8;1
