nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;23;12;0;124;108;0;18;4;26
12;23;12;0;124;108;0;18;4;26
13;23;12;0;124;108;0;18;4;26
14;23;12;0;124;108;0;18;4;26
15;23;12;0;124;108;0;18;4;26
16;23;12;0;124;108;0;18;4;26
17;23;12;0;124;108;0;18;4;26
18;23;12;0;124;108;0;18;4;26
19;23;12;0;124;108;0;18;4;26
21;41;4;0;93;113;0;29;5;36
22;41;4;0;93;113;0;29;5;36
23;41;4;0;93;113;0;29;5;36
24;41;4;0;93;113;0;29;5;36
25;41;4;0;93;113;0;29;5;36
26;41;4;0;93;113;0;29;5;36
27;41;4;0;93;113;0;29;5;36
28;41;4;0;93;113;0;29;5;36
29;41;4;0;93;113;0;29;5;36
31;51;5;0;113;116;0;11;10;46
32;51;5;0;113;116;0;11;10;46
33;51;5;0;113;116;0;11;10;46
34;51;5;0;113;116;0;11;10;46
35;51;5;0;113;116;0;11;10;46
36;51;5;0;113;116;0;11;10;46
37;51;5;0;113;116;0;11;10;46
38;51;5;0;113;116;0;11;10;46
39;51;5;0;113;116;0;11;10;46
41;70;2;0;90;17;0;17;8;0
42;70;2;0;90;17;0;17;8;0
43;70;2;0;90;17;0;17;8;0
44;70;2;0;90;17;0;17;8;0
45;70;2;0;90;17;0;17;8;0
46;70;2;0;90;17;0;17;8;0
47;70;2;0;90;17;0;17;8;0
48;70;2;0;90;17;0;17;8;0
49;70;2;0;90;17;0;17;8;0
51;86;3;0;80;18;0;18;14;0
52;86;3;0;80;18;0;18;14;0
53;86;3;0;80;18;0;18;14;0
54;86;3;0;80;18;0;18;14;0
55;86;3;0;80;18;0;18;14;0
56;86;3;0;80;18;0;18;14;0
57;86;3;0;80;18;0;18;14;0
58;86;3;0;80;18;0;18;14;0
59;86;3;0;80;18;0;18;14;0
61;144;4;0;69;7;0;16;16;0
62;144;4;0;69;7;0;16;16;0
63;144;4;0;69;7;0;16;16;0
64;144;4;0;69;7;0;16;16;0
65;144;4;0;69;7;0;16;16;0
66;144;4;0;69;7;0;16;16;0
67;144;4;0;69;7;0;16;16;0
68;144;4;0;69;7;0;16;16;0
69;144;4;0;69;7;0;16;16;0
71;208;3;0;61;5;0;10;8;0
72;208;3;0;61;5;0;10;8;0
73;208;3;0;61;5;0;10;8;0
74;208;3;0;61;5;0;10;8;0
75;208;3;0;61;5;0;10;8;0
76;208;3;0;61;5;0;10;8;0
77;208;3;0;61;5;0;10;8;0
78;208;3;0;61;5;0;10;8;0
79;208;3;0;61;5;0;10;8;0
81;279;2;0;38;10;0;10;3;0
82;279;2;0;38;10;0;10;3;0
83;279;2;0;38;10;0;10;3;0
84;279;2;0;38;10;0;10;3;0
