nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;15;7;0;97;112;0;25;8;26
12;15;7;0;97;112;0;25;8;26
13;15;7;0;97;112;0;25;8;26
14;15;7;0;97;112;0;25;8;26
15;15;7;0;97;112;0;25;8;26
16;15;7;0;97;112;0;25;8;26
17;15;7;0;97;112;0;25;8;26
18;15;7;0;97;112;0;25;8;26
19;15;7;0;97;112;0;25;8;26
21;27;4;0;75;130;0;18;7;45
22;27;4;0;75;130;0;18;7;45
23;27;4;0;75;130;0;18;7;45
24;27;4;0;75;130;0;18;7;45
25;27;4;0;75;130;0;18;7;45
26;27;4;0;75;130;0;18;7;45
27;27;4;0;75;130;0;18;7;45
28;27;4;0;75;130;0;18;7;45
29;27;4;0;75;130;0;18;7;45
31;43;4;0;81;127;0;24;9;50
32;43;4;0;81;127;0;24;9;50
33;43;4;0;81;127;0;24;9;50
34;43;4;0;81;127;0;24;9;50
35;43;4;0;81;127;0;24;9;50
36;43;4;0;81;127;0;24;9;50
37;43;4;0;81;127;0;24;9;50
38;43;4;0;81;127;0;24;9;50
39;43;4;0;81;127;0;24;9;50
41;77;4;0;80;22;0;23;10;2
42;77;4;0;80;22;0;23;10;2
43;77;4;0;80;22;0;23;10;2
44;77;4;0;80;22;0;23;10;2
45;77;4;0;80;22;0;23;10;2
46;77;4;0;80;22;0;23;10;2
47;77;4;0;80;22;0;23;10;2
48;77;4;0;80;22;0;23;10;2
49;77;4;0;80;22;0;23;10;2
51;106;3;0;63;13;0;26;7;0
52;106;3;0;63;13;0;26;7;0
53;106;3;0;63;13;0;26;7;0
54;106;3;0;63;13;0;26;7;0
55;106;3;0;63;13;0;26;7;0
56;106;3;0;63;13;0;26;7;0
57;106;3;0;63;13;0;26;7;0
58;106;3;0;63;13;0;26;7;0
59;106;3;0;63;13;0;26;7;0
61;165;2;0;53;12;0;22;7;0
62;165;2;0;53;12;0;22;7;0
63;165;2;0;53;12;0;22;7;0
64;165;2;0;53;12;0;22;7;0
65;165;2;0;53;12;0;22;7;0
66;165;2;0;53;12;0;22;7;0
67;165;2;0;53;12;0;22;7;0
68;165;2;0;53;12;0;22;7;0
69;165;2;0;53;12;0;22;7;0
71;227;4;0;45;5;0;14;6;0
72;227;4;0;45;5;0;14;6;0
73;227;4;0;45;5;0;14;6;0
74;227;4;0;45;5;0;14;6;0
75;227;4;0;45;5;0;14;6;0
76;227;4;0;45;5;0;14;6;0
77;227;4;0;45;5;0;14;6;0
78;227;4;0;45;5;0;14;6;0
79;227;4;0;45;5;0;14;6;0
81;297;4;0;36;7;0;10;5;0
82;297;4;0;36;7;0;10;5;0
83;297;4;0;36;7;0;10;5;0
84;297;4;0;36;7;0;10;5;0
