nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;10;4;0;113;103;0;35;4;30
12;10;4;0;113;103;0;35;4;30
13;10;4;0;113;103;0;35;4;30
14;10;4;0;113;103;0;35;4;30
15;10;4;0;113;103;0;35;4;30
16;10;4;0;113;103;0;35;4;30
17;10;4;0;113;103;0;35;4;30
18;10;4;0;113;103;0;35;4;30
19;10;4;0;113;103;0;35;4;30
21;13;3;0;98;113;0;25;13;34
22;13;3;0;98;113;0;25;13;34
23;13;3;0;98;113;0;25;13;34
24;13;3;0;98;113;0;25;13;34
25;13;3;0;98;113;0;25;13;34
26;13;3;0;98;113;0;25;13;34
27;13;3;0;98;113;0;25;13;34
28;13;3;0;98;113;0;25;13;34
29;13;3;0;98;113;0;25;13;34
31;47;-1;0;100;121;0;18;9;55
32;47;-1;0;100;121;0;18;9;55
33;47;-1;0;100;121;0;18;9;55
34;47;-1;0;100;121;0;18;9;55
35;47;-1;0;100;121;0;18;9;55
36;47;-1;0;100;121;0;18;9;55
37;47;-1;0;100;121;0;18;9;55
38;47;-1;0;100;121;0;18;9;55
39;47;-1;0;100;121;0;18;9;55
41;62;1;0;96;17;0;27;9;3
42;62;1;0;96;17;0;27;9;3
43;62;1;0;96;17;0;27;9;3
44;62;1;0;96;17;0;27;9;3
45;62;1;0;96;17;0;27;9;3
46;62;1;0;96;17;0;27;9;3
47;62;1;0;96;17;0;27;9;3
48;62;1;0;96;17;0;27;9;3
49;62;1;0;96;17;0;27;9;3
51;91;1;0;98;13;0;21;5;1
52;91;1;0;98;13;0;21;5;1
53;91;1;0;98;13;0;21;5;1
54;91;1;0;98;13;0;21;5;1
55;91;1;0;98;13;0;21;5;1
56;91;1;0;98;13;0;21;5;1
57;91;1;0;98;13;0;21;5;1
58;91;1;0;98;13;0;21;5;1
59;91;1;0;98;13;0;21;5;1
61;140;1;0;74;9;0;19;4;1
62;140;1;0;74;9;0;19;4;1
63;140;1;0;74;9;0;19;4;1
64;140;1;0;74;9;0;19;4;1
65;140;1;0;74;9;0;19;4;1
66;140;1;0;74;9;0;19;4;1
67;140;1;0;74;9;0;19;4;1
68;140;1;0;74;9;0;19;4;1
69;140;1;0;74;9;0;19;4;1
71;195;1;0;63;5;0;15;5;1
72;195;1;0;63;5;0;15;5;1
73;195;1;0;63;5;0;15;5;1
74;195;1;0;63;5;0;15;5;1
75;195;1;0;63;5;0;15;5;1
76;195;1;0;63;5;0;15;5;1
77;195;1;0;63;5;0;15;5;1
78;195;1;0;63;5;0;15;5;1
79;195;1;0;63;5;0;15;5;1
81;267;1;0;37;6;0;9;7;0
82;267;1;0;37;6;0;9;7;0
83;267;1;0;37;6;0;9;7;0
84;267;1;0;37;6;0;9;7;0
